local_source,local_target,Source,Target,Type,id,label,timeset,weight,wikiweight,isolateedge,distinctweight,source_name,target_name
http://datadock.io/timathom/netsci/id/resource/person/Q184169,http://datadock.io/timathom/netsci/id/resource/person/Q44272,http://www.wikidata.org/entity/Q184169,http://www.wikidata.org/entity/Q44272,Directed,1,,,81.0,28,0,1,Louis Althusser,Michel Foucault
http://datadock.io/timathom/netsci/id/resource/person/Q184169,http://datadock.io/timathom/netsci/id/resource/person/Q311005,http://www.wikidata.org/entity/Q184169,http://www.wikidata.org/entity/Q311005,Directed,3,,,44.0,20,0,1,Louis Althusser,Alain Badiou
http://datadock.io/timathom/netsci/id/resource/person/Q822727,http://datadock.io/timathom/netsci/id/resource/person/Q130631,http://www.wikidata.org/entity/Q822727,http://www.wikidata.org/entity/Q130631,Directed,4,,,32.0,10,0,1,Bernard Stiegler,Jacques Derrida
http://datadock.io/timathom/netsci/id/resource/person/Q454802,http://datadock.io/timathom/netsci/id/resource/person/Q83003,http://www.wikidata.org/entity/Q454802,http://www.wikidata.org/entity/Q83003,Directed,5,,,25.0,18,0,1,Ernesto Laclau,Antonio Gramsci
http://datadock.io/timathom/netsci/id/resource/person/Q454802,http://datadock.io/timathom/netsci/id/resource/person/Q184169,http://www.wikidata.org/entity/Q454802,http://www.wikidata.org/entity/Q184169,Directed,6,,,17.0,12,0,1,Ernesto Laclau,Louis Althusser
http://datadock.io/timathom/netsci/id/resource/person/Q454802,http://datadock.io/timathom/netsci/id/resource/person/Q34933,http://www.wikidata.org/entity/Q454802,http://www.wikidata.org/entity/Q34933,Directed,7,,,13.0,12,0,1,Ernesto Laclau,Eric Hobsbawm
http://datadock.io/timathom/netsci/id/resource/person/Q353754,http://datadock.io/timathom/netsci/id/resource/person/Q130631,http://www.wikidata.org/entity/Q353754,http://www.wikidata.org/entity/Q130631,Directed,8,,,55.0,15,0,1,Paul de Man,Jacques Derrida
http://datadock.io/timathom/netsci/id/resource/person/Q454802,http://datadock.io/timathom/netsci/id/resource/person/Q169906,http://www.wikidata.org/entity/Q454802,http://www.wikidata.org/entity/Q169906,Directed,9,,,21.0,14,0,1,Ernesto Laclau,Jacques Lacan
http://datadock.io/timathom/netsci/id/resource/person/Q159876,http://datadock.io/timathom/netsci/id/resource/person/Q324944,http://www.wikidata.org/entity/Q159876,http://www.wikidata.org/entity/Q324944,Directed,10,,,23.0,11,0,1,Julia Kristeva,Philippe Sollers
http://datadock.io/timathom/netsci/id/resource/person/Q454802,http://datadock.io/timathom/netsci/id/resource/person/Q44272,http://www.wikidata.org/entity/Q454802,http://www.wikidata.org/entity/Q44272,Directed,11,,,14.0,12,0,1,Ernesto Laclau,Michel Foucault
http://datadock.io/timathom/netsci/id/resource/person/Q454802,http://datadock.io/timathom/netsci/id/resource/person/Q130631,http://www.wikidata.org/entity/Q454802,http://www.wikidata.org/entity/Q130631,Directed,12,,,17.0,14,0,1,Ernesto Laclau,Jacques Derrida
http://datadock.io/timathom/netsci/id/resource/person/Q128126,http://datadock.io/timathom/netsci/id/resource/person/Q156201,http://www.wikidata.org/entity/Q128126,http://www.wikidata.org/entity/Q156201,Directed,13,,,66.0,30,0,1,Claude Lévi-Strauss,Roman Jakobson
