,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Component ID,Degree,Eccentricity,Ego Network,Eigenvector Centrality,Harmonic Closeness Centrality,In-Degree,Modularity Class,Out-Degree,PageRank,Strongly-Connected ID,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,b,dedicator,g,label,lang-af,lang-ar,lang-ast,lang-az,lang-be,lang-be-tarask,lang-bg,lang-bs,lang-ca,lang-ckb,lang-cs,lang-da,lang-de,lang-el,lang-en,lang-eo,lang-es,lang-et,lang-eu,lang-fa,lang-fi,lang-fr,lang-gl,lang-he,lang-hr,lang-hu,lang-hy,lang-ia,lang-id,lang-io,lang-is,lang-it,lang-ja,lang-jv,lang-ka,lang-kk,lang-ko,lang-ku,lang-la,lang-li,lang-lt,lang-lv,lang-mk,lang-ml,lang-nl,lang-nn,lang-no,lang-oc,lang-pa,lang-pl,lang-pt,lang-ro,lang-ru,lang-sco,lang-sh,lang-simple,lang-sk,lang-sl,lang-sr,lang-sv,lang-sw,lang-ta,lang-th,lang-tl,lang-tr,lang-uk,lang-vi,lang-yo,lang-zh,r,size,wiki degree,x,y
Q1138608,0.0,0.0,0.5,0,4,0.0,0,0.02357759869276043,0.0,4,0,0,0.00033508350392638046,1547,7.0,7.0,0.0,255,1,137,Serge Leclaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,3,554.7518,-255.13815
Q1333153,0.0003200572645111414,0.35740658691478366,0.10931174457073212,0,47,5.0,1,0.10862948372489319,0.3738705234159875,25,0,22,0.001053071543684918,2038,366.0,132.0,234.0,255,1,137,Philippe Lacoue-Labarthe,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,223,64.0,13,-42.241333,1562.1135
Q1361994,0.0,0.0,0.0,0,3,0.0,0,0.015544916186937997,0.0,3,0,0,0.00032209827072000814,1532,16.0,16.0,0.0,255,1,137,Michaël Levinas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,223,64.0,7,-316.52658,1461.7593
Q1523584,0.0,0.0,0.5,0,2,0.0,0,0.004745930215698739,0.0,2,6,0,0.0003027428807695736,723,8.0,8.0,0.0,255,1,196,M. H. Abrams,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,5,-1295.5957,1943.3562
Q153034,0.004705919496234549,0.3940726266080443,0.040846750140190125,0,159,5.0,1,0.26331200439775104,0.4234435261708112,81,0,78,0.003031896700525857,2038,942.0,448.0,494.0,255,1,137,Emmanuel Levinas,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,223,64.0,40,153.11514,1387.7573
Q156268,0.0035470121953903285,0.3927933776984256,0.03314702585339546,0,132,5.0,1,0.1907271502201149,0.4224724517906475,51,1,81,0.00173589757511308,2038,765.0,190.0,575.0,0,1,192,Pierre Bourdie,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,115,64.0,38,496.98715,284.30988
Q157303,0.0,0.0,0.0,0,7,0.0,0,0.014093967662459413,0.0,7,4,0,0.00034147797001333205,778,15.0,15.0,0.0,255,1,89,Georges Perec,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,64.0,7,-1712.7574,325.41583
Q159876,0.0011690821237587959,0.38602647950231295,0.0670970231294632,0,86,5.0,1,0.17232830556218418,0.4098415977961558,41,4,45,0.0014249448403847724,2038,574.0,261.0,313.0,255,1,89,Julia Kristeva,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,76,64.0,39,-161.49258,1023.5504
Q16194150,0.0,0.34267515923566877,1.0,0,3,5.0,1,0.0,0.3521341043645961,0,0,3,0.00024142417580897478,2337,5.0,0.0,5.0,255,1,137,Gregg Lambert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,1,-534.23505,154.25166
Q162597,1.3857808557453814e-05,0.2273367778299671,0.11052631586790085,0,20,6.0,0,0.08790017573574348,0.23362258953167964,18,4,2,0.0006505542506127216,2038,74.0,72.0,2.0,255,1,89,Henri Lefebvre,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,76,64.0,20,-550.2554,538.7537
