,b,dedicator,g,label,r,size,x,y
Q102106,147,0,121,Q102106,238,9.12,-532.0106,-4461.514
Q11412512,147,0,121,Q11412512,238,8.0,323.8743,-2386.4263
Q11633567,147,0,121,Q11633567,238,8.0,-813.7597,-3604.0059
Q12280659,147,0,121,Q12280659,238,10.24,929.1003,-3730.1177
Q123966,147,0,121,Q123966,238,8.0,-94.87359,-5568.2954
Q1261985,147,0,121,Q1261985,238,8.0,75.77751,-2424.23
Q12807,147,0,121,Q12807,238,12.48,294.91577,-4390.078
Q128126,147,0,121,Q128126,238,16.96,24.090435,-3427.84
Q129228,147,0,121,Q129228,238,8.0,-942.96313,-3051.7761
Q130631,147,0,121,Q130631,238,53.92,-46.877098,-3937.8948
Q1308340,147,0,121,Q1308340,238,8.0,-284.07007,-4756.741
Q1333153,125,1,177,Philippe Lacoue-Labarthe,63,64.0,-227.31886,-3218.7468
Q13411630,147,0,121,Q13411630,238,9.12,547.71155,-4527.8237
Q1349785,147,0,121,Q1349785,238,11.36,71.83017,-3121.6018
Q1367032,147,0,121,Q1367032,238,8.0,-382.47424,-5613.801
Q1384603,147,0,121,Q1384603,238,9.12,1055.7388,-4363.269
Q138850,147,0,121,Q138850,238,9.12,1454.0253,-3293.241
Q1388925,147,0,121,Q1388925,238,8.0,-989.5556,-3115.553
Q1450977,147,0,121,Q1450977,238,8.0,-288.21426,-2364.037
Q153034,125,1,177,Emmanuel Levinas,63,64.0,138.69183,-2723.457
Q153905,147,0,121,Q153905,238,10.24,-106.32606,-3633.3064
Q154756,147,0,121,Q154756,238,8.0,-348.55682,-4833.022
Q156193,147,0,121,Q156193,238,8.0,416.59222,-5227.8765
Q156268,125,1,177,Pierre Bourdie,63,64.0,656.44183,-4134.8965
Q158030,147,0,121,Q158030,238,8.0,789.79865,-3018.0671
Q158092,147,0,121,Q158092,238,8.0,77.08647,-2368.031
Q1588737,147,0,121,Q1588737,238,9.12,-464.6996,-4475.835
Q15918362,147,0,121,Q15918362,238,8.0,-442.18204,-3192.2878
Q159648,147,0,121,Q159648,238,9.12,1364.6284,-3980.3757
Q159876,125,1,177,Julia Kristeva,63,64.0,-386.30466,-4172.1533
Q16194150,125,1,177,Gregg Lambert,63,64.0,146.20273,-3910.6172
Q1685382,125,1,177,Jean Bollack,63,64.0,444.58792,-4289.3467
Q1685398,147,0,121,Q1685398,238,8.0,-704.2597,-4327.32
Q169906,147,0,121,Q169906,238,25.92,14.176562,-3710.261
Q179109,125,1,177,Roland Barthes,63,64.0,-229.38971,-4456.8433
Q1807967,147,0,121,Q1807967,238,8.0,-818.0094,-2863.4883
Q18245478,147,0,121,Q18245478,238,8.0,838.8047,-4469.495
Q1824930,147,0,121,Q1824930,238,8.0,-415.3419,-5689.722
Q182847,147,0,121,Q182847,238,10.24,217.5896,-4204.284
Q184169,125,1,177,Louis Althusser,63,64.0,590.62195,-3552.0044
Q184226,147,0,121,Q184226,238,19.2,88.73828,-3814.8372
Q184622,147,0,121,Q184622,238,8.0,-985.9846,-3950.2158
Q184750,147,0,121,Q184750,238,8.0,950.45514,-3333.0603
Q185105,147,0,121,Q185105,238,9.12,157.27226,-3286.0771
Q185375,147,0,121,Q185375,238,9.12,-462.01398,-4547.94
Q187099,147,0,121,Q187099,238,8.0,934.69904,-4434.0454
Q187166,147,0,121,Q187166,238,8.0,-646.4983,-4382.952
Q192066,125,1,177,Paul Ricœur,63,64.0,486.49966,-3289.8733
Q193257,147,0,121,Q193257,238,16.96,384.61447,-3591.5015
Q193871,147,0,121,Q193871,238,8.0,346.435,-5243.4146
