Source,Target,Type,id,label,timeset,weight,wikiweight,isolateedge,distinctweight,source_name,target_name
Q184169,Q44272,Directed,1,,,81.0,28,0,1,Louis Althusser,Michel Foucault
Q184169,Q311005,Directed,3,,,44.0,20,0,1,Louis Althusser,Alain Badiou
Q822727,Q130631,Directed,4,,,32.0,10,0,1,Bernard Stiegler,Jacques Derrida
Q454802,Q83003,Directed,5,,,25.0,18,0,1,Ernesto Laclau,Antonio Gramsci
Q454802,Q184169,Directed,6,,,17.0,12,0,1,Ernesto Laclau,Louis Althusser
Q454802,Q34933,Directed,7,,,13.0,12,0,1,Ernesto Laclau,Eric Hobsbawm
Q353754,Q130631,Directed,8,,,55.0,15,0,1,Paul de Man,Jacques Derrida
Q454802,Q169906,Directed,9,,,21.0,14,0,1,Ernesto Laclau,Jacques Lacan
Q159876,Q324944,Directed,10,,,23.0,11,0,1,Julia Kristeva,Philippe Sollers
Q454802,Q44272,Directed,11,,,14.0,12,0,1,Ernesto Laclau,Michel Foucault
Q454802,Q130631,Directed,12,,,17.0,14,0,1,Ernesto Laclau,Jacques Derrida
Q128126,Q156201,Directed,13,,,66.0,30,0,1,Claude Lévi-Strauss,Roman Jakobson
Q503017,Q192066,Directed,14,,,13.0,7,0,1,Jean-Luc Nancy,Paul Ricœur
Q503017,Q130631,Directed,15,,,43.0,19,0,1,Jean-Luc Nancy,Jacques Derrida
Q454802,Q184750,Directed,16,,,30.0,20,0,1,Ernesto Laclau,Slavoj Žižek
Q503017,Q193257,Directed,17,,,9.0,4,0,1,Jean-Luc Nancy,Jean-François Lyotard
Q454802,Q219368,Directed,18,,,19.0,15,0,1,Ernesto Laclau,Judith Butler
Q454802,Q923743,Directed,19,,,4.0,4,0,1,Ernesto Laclau,Simon Critchley
Q454802,Q8048911,Directed,21,,,2.0,1,0,1,Ernesto Laclau,Yannis Stavrakakis
Q159876,Q185375,Directed,22,,,19.0,11,0,1,Julia Kristeva,Mikhail Bakhtin
Q454802,Q17045132,Directed,23,,,2.0,2,0,1,Ernesto Laclau,Íñigo Errejón
Q159876,Q169906,Directed,24,,,31.0,20,0,1,Julia Kristeva,Jacques Lacan
Q454802,Q236173,Directed,25,,,48.0,19,0,1,Ernesto Laclau,Chantal Mouffe
Q159876,Q179109,Directed,26,,,49.0,24,0,1,Julia Kristeva,Roland Barthes
Q128126,Q169906,Directed,27,,,31.0,14,0,1,Claude Lévi-Strauss,Jacques Lacan
Q128126,Q156268,Directed,28,,,31.0,18,0,1,Claude Lévi-Strauss,Pierre Bourdie
Q159876,Q130631,Directed,29,,,22.0,11,0,1,Julia Kristeva,Jacques Derrida
Q128126,Q550729,Directed,30,,,22.0,7,0,1,Claude Lévi-Strauss,Edmund Leach
Q159876,Q513448,Directed,31,,,4.0,1,0,1,Julia Kristeva,Lucien Goldmann
Q128126,Q452742,Directed,32,,,4.0,2,0,1,Claude Lévi-Strauss,Catherine Clément
Q236173,Q454802,Directed,33,,,36.0,19,0,1,Chantal Mouffe,Ernesto Laclau
Q503017,Q207359,Directed,34,,,28.0,11,0,1,Jean-Luc Nancy,Georges Bataille
Q128126,Q1197333,Directed,35,,,13.0,3,0,1,Claude Lévi-Strauss,Philippe Descola
Q159876,Q60025,Directed,36,,,21.0,13,0,1,Julia Kristeva,Hannah Arendt
Q179109,Q169906,Directed,37,,,32.0,20,0,1,Roland Barthes,Jacques Lacan
Q159876,Q207359,Directed,38,,,8.0,3,0,1,Julia Kristeva,Georges Bataille
Q503017,Q1333153,Directed,39,,,36.0,11,0,1,Jean-Luc Nancy,Philippe Lacoue-Labarthe
Q153034,Q9364,Directed,40,,,50.0,18,0,1,Emmanuel Levinas,Jean-Paul Sartre
